origin,destination,origin_region,destination_region,shipment_count,total_weight_lbs,total_freight_cost,avg_cost_per_shipment,avg_transit_days,on_time_pct,num_carriers,transport_modes
"Seattle, WA","Miami, FL",US-West,US-South,16,2008630.9,95805.03,5987.81,11.9,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","Toronto, ON",US-Midwest,Canada,16,1155498.7,71522.07,4470.13,9.9,100.0,9,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Memphis, TN","Portland, OR",US-South,US-West,16,2117816.9,78167.08,4885.44,12.8,100.0,10,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Louisville, KY","Boston, MA",US-East,US-East,16,1208040.5,62323.59,3895.22,9.5,100.0,9,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","Nashville, TN",US-Midwest,US-South,16,870322.3,57259.74,3578.73,8.1,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","San Francisco, CA",US-South,US-West,16,944054.6,54205.15,3387.82,8.1,100.0,8,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Louisville, KY","Phoenix, AZ",US-East,US-West,16,1785422.9,74888.96,4680.56,11.6,100.0,6,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","San Francisco, CA",US-Midwest,US-West,15,757345.1,49216.62,3281.11,7.2,100.0,6,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Toronto, ON",US-West,Canada,15,1158746.4,79166.95,5277.8,10.5,100.0,9,"Air Freight, Intermodal, Ocean, Rail, Truck (LTL)"
"Columbus, OH","Vancouver, BC",US-Midwest,Canada,15,1057039.7,51585.89,3439.06,7.4,100.0,6,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Seattle, WA","Monterrey, MX",US-West,Mexico,15,1232160.5,55631.4,3708.76,8.4,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Seattle, WA","Denver, CO",US-West,US-West,15,1708914.4,81284.33,5418.96,12.0,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","Boston, MA",US-Midwest,US-East,15,2369136.8,85673.97,5711.6,18.9,100.0,8,"Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Memphis, TN","Nashville, TN",US-South,US-South,15,1634316.9,79924.18,5328.28,12.3,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","Denver, CO",US-Midwest,US-West,15,712425.6,48499.78,3233.32,6.7,100.0,7,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Louisville, KY","San Francisco, CA",US-East,US-West,15,707305.8,46523.51,3101.57,11.5,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","Miami, FL",US-Midwest,US-South,15,648607.8,50986.34,3399.09,7.0,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Newark, NJ","Miami, FL",US-East,US-South,14,698053.3,42304.83,3021.77,7.9,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Dallas, TX","San Francisco, CA",US-South,US-West,14,2047755.4,81937.64,5852.69,12.9,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (LTL)"
"Dallas, TX","Minneapolis, MN",US-South,US-Midwest,14,282359.5,42150.67,3010.76,6.6,100.0,9,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Atlanta, GA","Phoenix, AZ",US-South,US-West,14,943601.1,57316.78,4094.06,8.1,100.0,6,"Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","Miami, FL",US-South,US-South,14,648927.9,43986.47,3141.89,6.1,100.0,7,"Air Freight, Intermodal, Rail, Truck (FTL), Truck (LTL)"
"Atlanta, GA","Miami, FL",US-South,US-South,14,744880.2,50652.73,3618.05,8.8,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Detroit, MI",US-West,US-Midwest,14,1320754.2,53469.31,3819.24,11.3,100.0,7,"Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Atlanta, GA","Vancouver, BC",US-South,Canada,14,1867793.9,79672.68,5690.91,17.1,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Memphis, TN","Phoenix, AZ",US-South,US-West,14,1505363.2,62707.65,4479.12,11.9,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (LTL)"
"Newark, NJ","Phoenix, AZ",US-East,US-West,14,1418489.7,76043.87,5431.7,10.6,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Atlanta, GA","San Francisco, CA",US-South,US-West,13,798286.7,54448.33,4188.33,8.8,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Atlanta, GA","Denver, CO",US-South,US-West,13,407557.4,24934.47,1918.04,12.6,100.0,6,"Air Freight, Ocean, Truck (FTL), Truck (LTL)"
"Dallas, TX","Nashville, TN",US-South,US-South,13,975733.1,50259.42,3866.11,12.2,100.0,8,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","Denver, CO",US-South,US-West,13,678086.9,42398.53,3261.43,7.5,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Dallas, TX","Phoenix, AZ",US-South,US-West,13,1170888.5,53766.71,4135.9,8.7,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","Boston, MA",US-South,US-East,13,815789.4,53430.79,4110.06,8.2,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Seattle, WA","Minneapolis, MN",US-West,US-Midwest,13,927392.9,55193.57,4245.66,10.1,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Vancouver, BC",US-West,Canada,13,1219909.6,62033.11,4771.78,10.6,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","San Francisco, CA",US-Midwest,US-West,13,1310196.2,59528.2,4579.09,10.8,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Dallas, TX","Toronto, ON",US-South,Canada,13,918979.8,53722.7,4132.52,9.9,100.0,7,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","Miami, FL",US-Midwest,US-South,13,1264105.5,58483.56,4498.74,11.8,100.0,6,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","Nashville, TN",US-Midwest,US-South,13,903805.1,58321.69,4486.28,8.6,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Louisville, KY","Nashville, TN",US-East,US-South,13,744411.8,28063.03,2158.69,9.8,100.0,6,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Minneapolis, MN",US-West,US-Midwest,13,460434.7,35276.9,2713.61,7.8,100.0,8,"Air Freight, Intermodal, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","New York, NY",US-Midwest,US-East,12,690609.0,32292.28,2691.02,8.6,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Seattle, WA","Phoenix, AZ",US-West,US-West,12,794277.3,46620.99,3885.08,8.5,100.0,6,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Dallas, TX","Monterrey, MX",US-South,Mexico,12,947423.8,63372.45,5281.04,11.2,100.0,9,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Newark, NJ","Minneapolis, MN",US-East,US-Midwest,12,715394.5,37582.8,3131.9,10.3,100.0,6,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Dallas, TX","Vancouver, BC",US-South,Canada,12,394648.1,42119.82,3509.99,6.4,100.0,8,"Air Freight, Intermodal, Rail, Truck (FTL), Truck (LTL)"
"Newark, NJ","Nashville, TN",US-East,US-South,12,925578.2,49263.83,4105.32,11.2,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (LTL)"
"Louisville, KY","Vancouver, BC",US-East,Canada,12,584824.5,47565.71,3963.81,8.3,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","Phoenix, AZ",US-South,US-West,12,1759446.5,59869.6,4989.13,13.8,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL)"
"Houston, TX","New York, NY",US-South,US-East,12,706609.7,29824.52,2485.38,9.0,100.0,8,"Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Monterrey, MX",US-West,Mexico,12,1043735.0,55906.58,4658.88,10.8,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Louisville, KY","Miami, FL",US-East,US-South,12,828498.1,47033.87,3919.49,10.6,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","Boston, MA",US-Midwest,US-East,12,638620.8,37693.25,3141.1,8.6,100.0,6,"Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Memphis, TN","Toronto, ON",US-South,Canada,12,1026041.9,52900.61,4408.38,9.8,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","Detroit, MI",US-Midwest,US-Midwest,12,970307.5,41677.54,3473.13,10.1,100.0,7,"Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Phoenix, AZ",US-West,US-West,12,719620.9,35610.47,2967.54,11.5,100.0,7,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Boston, MA",US-West,US-East,12,513625.8,25247.99,2104.0,8.2,100.0,6,"Intermodal, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","Portland, OR",US-South,US-West,11,492426.4,36090.38,3280.94,7.9,100.0,9,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Newark, NJ","New York, NY",US-East,US-East,11,1165066.9,43988.1,3998.92,10.5,100.0,5,"Air Freight, Intermodal, Ocean, Truck (FTL)"
"Chicago, IL","Monterrey, MX",US-Midwest,Mexico,11,868752.8,50580.07,4598.19,11.8,100.0,5,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Seattle, WA","Detroit, MI",US-West,US-Midwest,11,956769.4,48636.54,4421.5,12.5,100.0,9,"Air Freight, Intermodal, Ocean, Rail, Truck (LTL)"
"Newark, NJ","Boston, MA",US-East,US-East,11,774261.4,44213.62,4019.42,14.6,100.0,8,"Air Freight, Ocean, Truck (FTL), Truck (LTL)"
"Chicago, IL","Vancouver, BC",US-Midwest,Canada,11,769134.3,36660.44,3332.77,13.5,100.0,5,"Air Freight, Intermodal, Ocean, Rail, Truck (LTL)"
"Louisville, KY","Portland, OR",US-East,US-West,11,683013.2,33624.3,3056.75,11.1,100.0,6,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Seattle, WA","Toronto, ON",US-West,Canada,11,947919.7,41827.82,3802.53,11.5,100.0,7,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Atlanta, GA","Nashville, TN",US-South,US-South,11,752365.8,39257.9,3568.9,10.0,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Nashville, TN",US-West,US-South,11,1375206.5,58427.51,5311.59,13.1,100.0,8,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Newark, NJ","San Francisco, CA",US-East,US-West,11,1036581.7,42692.62,3881.15,8.5,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Newark, NJ","Denver, CO",US-East,US-West,11,1043291.0,62528.66,5684.42,12.7,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL)"
"Louisville, KY","Denver, CO",US-East,US-West,11,1459096.9,76737.94,6976.18,11.8,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (LTL)"
"Newark, NJ","Monterrey, MX",US-East,Mexico,11,1002301.4,49524.32,4502.21,11.3,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","Nashville, TN",US-South,US-South,11,1027485.4,38647.84,3513.44,12.3,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","Detroit, MI",US-South,US-Midwest,11,404501.0,22326.1,2029.65,10.2,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","Portland, OR",US-West,US-West,10,507433.8,31459.22,3145.92,10.3,100.0,5,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Memphis, TN","Denver, CO",US-South,US-West,10,781647.8,42695.18,4269.52,10.5,100.0,7,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Dallas, TX","New York, NY",US-South,US-East,10,707251.2,40590.3,4059.03,10.8,100.0,6,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Newark, NJ","Detroit, MI",US-East,US-Midwest,10,456386.3,26210.48,2621.05,10.4,100.0,8,"Intermodal, Ocean, Rail, Truck (FTL)"
"Columbus, OH","Phoenix, AZ",US-Midwest,US-West,10,526061.5,42201.35,4220.13,8.4,100.0,6,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Columbus, OH","New York, NY",US-Midwest,US-East,10,1019948.1,45359.69,4535.97,12.2,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (LTL)"
"Memphis, TN","Minneapolis, MN",US-South,US-Midwest,10,1160088.8,38903.23,3890.32,18.9,100.0,5,"Air Freight, Intermodal, Ocean, Rail, Truck (LTL)"
"Seattle, WA","Boston, MA",US-West,US-East,10,514444.4,25987.59,2598.76,12.3,100.0,4,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Newark, NJ","Portland, OR",US-East,US-West,10,691875.8,42327.3,4232.73,7.4,100.0,8,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Newark, NJ","Vancouver, BC",US-East,Canada,10,403417.2,43284.91,4328.49,6.3,100.0,7,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Atlanta, GA","Minneapolis, MN",US-South,US-Midwest,10,540248.7,37257.42,3725.74,9.7,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Atlanta, GA","Boston, MA",US-South,US-East,10,659918.5,29259.1,2925.91,13.6,100.0,6,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Louisville, KY","Toronto, ON",US-East,Canada,10,1245720.5,61317.51,6131.75,16.3,100.0,6,"Air Freight, Ocean, Truck (LTL)"
"Seattle, WA","Nashville, TN",US-West,US-South,9,587963.5,40335.05,4481.67,11.8,100.0,8,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Los Angeles, CA","New York, NY",US-West,US-East,9,865507.9,59081.73,6564.64,11.0,100.0,8,"Air Freight, Ocean, Rail, Truck (LTL)"
"Newark, NJ","Toronto, ON",US-East,Canada,9,216644.1,25461.73,2829.08,7.4,100.0,6,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Dallas, TX","Portland, OR",US-South,US-West,9,905506.2,33237.18,3693.02,10.6,100.0,8,"Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Chicago, IL","Denver, CO",US-Midwest,US-West,9,1346239.1,31981.75,3553.53,14.3,100.0,5,"Ocean, Rail, Truck (FTL), Truck (LTL)"
"Atlanta, GA","Toronto, ON",US-South,Canada,9,539093.5,34995.35,3888.37,12.1,100.0,7,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL)"
"Seattle, WA","San Francisco, CA",US-West,US-West,9,759919.7,39161.51,4351.28,10.6,100.0,4,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Seattle, WA","Portland, OR",US-West,US-West,9,966163.3,50908.49,5656.5,13.4,100.0,6,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL)"
"Memphis, TN","New York, NY",US-South,US-East,9,667836.1,40383.07,4487.01,10.0,100.0,5,"Air Freight, Intermodal, Ocean, Rail, Truck (FTL)"
"Louisville, KY","New York, NY",US-East,US-East,8,817660.3,38255.4,4781.93,16.9,100.0,6,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Atlanta, GA","New York, NY",US-South,US-East,8,209233.0,29849.8,3731.22,7.4,100.0,3,"Air Freight, Intermodal, Rail, Truck (FTL), Truck (LTL)"
"Memphis, TN","Vancouver, BC",US-South,Canada,8,340923.0,24851.18,3106.4,7.9,100.0,6,"Air Freight, Intermodal, Rail, Truck (FTL)"
"Memphis, TN","Boston, MA",US-South,US-East,8,208094.6,23214.23,2901.78,10.2,100.0,5,"Air Freight, Intermodal, Ocean, Truck (FTL), Truck (LTL)"
"Atlanta, GA","Monterrey, MX",US-South,Mexico,7,1046640.6,37677.82,5382.55,16.4,100.0,6,"Intermodal, Ocean, Rail"
"Seattle, WA","Vancouver, BC",US-West,Canada,7,329149.9,23626.85,3375.26,8.4,100.0,6,"Air Freight, Ocean, Rail, Truck (FTL), Truck (LTL)"
"Houston, TX","Toronto, ON",US-South,Canada,7,329409.8,26676.26,3810.89,7.1,100.0,5,"Air Freight, Intermodal, Rail"
"Houston, TX","Minneapolis, MN",US-South,US-Midwest,6,193315.4,18263.88,3043.98,5.0,100.0,5,"Air Freight, Intermodal, Rail, Truck (FTL)"
